ID,Timestamp,ชั้น,เบอร์,หมวดงาน,หัวข้อ,ไฟล์,URL,สถานที่,Dynamic Fields,Combination,,,,
1755741036283-3i9d1ulk4,21/8/2568 08:50:36,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงภาพโดยรวมของเหล็กเสริมทั่วไปก่อนเทคอนกรีต SilpForm,--ชั้น 1-รูปแสดงภาพโดยรวมของเหล็กเสริมทั่วไปก่อนเทคอนกรีต SilpForm-2025-08-21T01-50-32-074Z.jpg,https://drive.google.com/file/d/1056oZMif7J8tqeSdoWI9jgy0T_TfuwCU/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}"
1755741044343-gisy8h1b2,21/8/2568 08:50:44,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงระยะเหล็กปลอกแนวนอนและเหล็กปลอกมุมผนัง,--ชั้น 1-รูปแสดงระยะเหล็กปลอกแนวนอนและเหล็กปลอกมุมผนัง-2025-08-21T01-50-40-362Z.jpg,https://drive.google.com/file/d/1nHzBDYu4JtJRdbjbVYGQoYKmPww1BvC0/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 2""}"
1755741051296-uzsapeuq3,21/8/2568 08:50:51,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงการเสริมเหล็กมุมกำแพงที่มูมฉากในแนวนอน,--ชั้น 1-รูปแสดงการเสริมเหล็กมุมกำแพงที่มูมฉากในแนวนอน-2025-08-21T01-50-47-167Z.jpg,https://drive.google.com/file/d/1ZAOUC9x3O5TvZggC4GUccHed7PwLiWpF/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 3B-4 ""}"
1755741057894-oj5n2q6l3,21/8/2568 08:50:57,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงการเสริมเหล็กมุมกำแพงที่ตำแหน่ง3ทางในแนวนอน,--ชั้น 1-รูปแสดงการเสริมเหล็กมุมกำแพงที่ตำแหน่ง3ทางในแนวนอน-2025-08-21T01-50-53-966Z.jpg,https://drive.google.com/file/d/1AcRFZcZpCONWbDYv5qeReMvq5AOo1gc7/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C2"",""ชั้น"":""ชั้น .1"",""Gridline"":""N/13""}"
1755741064848-2216ihii4,21/8/2568 08:51:04,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงขนาดเหล็ก/รหัสเหล็กและSDข้างเหล็กเส้นของเหล็กหลัก,--ชั้น 1-รูปแสดงขนาดเหล็ก/รหัสเหล็กและSDข้างเหล็กเส้นของเหล็กหลัก-2025-08-21T01-51-00-602Z.jpg,https://drive.google.com/file/d/1GW1trs-ExQe86fHGrTUyDtPzh4yfDxrU/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C11"",""ชั้น"":""ชั้น .1"",""Gridline"":""15/N""}"
1755741071292-1h0ibjgs2,21/8/2568 08:51:11,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงตำแหน่งเหล็กเสริมบริเวณBlockout ประตูลิฟต์,--ชั้น 1-รูปแสดงตำแหน่งเหล็กเสริมบริเวณBlockout ประตูลิฟต์-2025-08-21T01-51-07-337Z.jpg,https://drive.google.com/file/d/1YG13dihiPMnlUeiaLnQwMQ0x0AWXLAUO/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C10"",""ชั้น"":""ชั้น .1"",""Gridline"":""15/N""}"
1755741078725-3hwlo2bid,21/8/2568 08:51:18,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงขนาดความหนาที่ด้านบนผนังเป็นไปตามแบบ,--ชั้น 1-รูปแสดงขนาดความหนาที่ด้านบนผนังเป็นไปตามแบบ-2025-08-21T01-51-14-314Z.jpg,https://drive.google.com/file/d/1GfcD4TJPsVQj9dQwgvjtQAyK-zJ8h1rl/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C11"",""ชั้น"":""ชั้น .1"",""Gridline"":""18/M""}"
1755741085838-zapzbmb3z,21/8/2568 08:51:25,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงตรวจสอบกำลังอัดของคอนกรีตจากบิลปูนถูกต้องตามข้อกำหนด,--ชั้น 1-รูปแสดงตรวจสอบกำลังอัดของคอนกรีตจากบิลปูนถูกต้องตามข้อกำหนด-2025-08-21T01-51-21-739Z.jpg,https://drive.google.com/file/d/1d7w-m6Hbc2qfVaSZvw63fp47Z5qMT69K/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C28"",""ชั้น"":""ชั้น .1"",""Gridline"":""19/U""}"
1755741093169-zrqp3u9ah,21/8/2568 08:51:33,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงการตรวจSLUMPคอนกรีตก่อนเทปูน,--ชั้น 1-รูปแสดงการตรวจSLUMPคอนกรีตก่อนเทปูน-2025-08-21T01-51-29-010Z.jpg,https://drive.google.com/file/d/1sXgDr_hSrZVGGPILfTbnD42AXr7H7CAG/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C34"",""ชั้น"":""ชั้น .1"",""Gridline"":""19/Y""}"
1755741099747-k68o80sih,21/8/2568 08:51:39,-,ชั้น 1,กำแพงลิฟต์และผนังบันได CORE ST-1,รูปแสดงผิวคอนกรีตหลังเทคอนกรีต SilpForm จบรอบเทคอนกรีตต่อครั้ง,--ชั้น 1-รูปแสดงผิวคอนกรีตหลังเทคอนกรีต SilpForm จบรอบเทคอนกรีตต่อครั้ง-2025-08-21T01-51-36-011Z.jpg,https://drive.google.com/file/d/110aeR7xUZ5cRLfnGqiD3j1Q73FPMdQt1/view,ไม่สามารถเข้าถึงตำแหน่งได้,"{""อาคาร"":""-"",""ชั้น/Floor"":""ชั้น 1""}",,,,,"{""อาคาร"":""-"",""เสาเบอร์"":""C18"",""ชั้น"":""ชั้น .1"",""Gridline"":""15/K""}"
