Project,Category,ชั้น,ห้อง,Code note
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 1,"ECN-A1-071, ECN-A1-001, ECN-W1-002, ECN-B1-003"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 2,"ECN-A1-004, ECN-B1-005, ECN-W1-006"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 3,"ECN-W1-007, ECN-B1-008, ECN-A1-009"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 4,"ECN-B1-010, ECN-W1-011"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 5,"ECN-W1-012, ECN-B1-013, ECN-W1-014"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,"ECN-W1-015, ECN-B1-016, ECN-W1-017, ECN-A1-018, ECN-A1-019, ECN-A1-020"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,"ECN-A1-022, ECN-A1-023, ECN-W1-024, ECN-A1-025, ECN-B1-026, ECN-W1-027, ECN-A1-028"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 8,"ECN-W1-031, ECN-B1-032, ECN-A1-033"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 9,"ECN-B1-034, ECN-W1-035"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 10,"ECN-W1-036, ECN-B1-037, ECN-A1-038"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 11,"ECN-B1-039, ECN-W1-040"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 12,"ECN-A1-041, ECN-B1-042, ECN-W2-043"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 13,"ECN-W2-044, ECN-B1-045, ECN-A2-046"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 14,"ECN-A1-048, ECN-W1-049, ECN-B1-050"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 15,"ECN-A1-051, ECN-W1-052, ECN-A2-053, ECN-T1-054, ECN-A2-055"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 16,"ECN-A2-057, ECN-T1-058, ECN-A2-059, ECN-W2-060, ECN-A1-061"
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 17,"ECN-B1-062, ECN-W1-063, ECN-A1-064"
