Project,Category,ชั้น,ห้อง,Code note
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 1,ECN-A1-071
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 1,ECN-A1-001
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 1,ECN-W1-002
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 1,ECN-B1-003
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 2,ECN-A1-004
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 2,ECN-B1-005
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 2,ECN-W1-006
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 3,ECN-W1-007
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 3,ECN-B1-008
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 3,ECN-A1-009
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 4,ECN-B1-010
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 4,ECN-W1-011
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 5,ECN-W1-012
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 5,ECN-B1-013
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 5,ECN-W1-014
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-W1-015
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-B1-016
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-W1-017
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-A1-018
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-A1-019
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 6,ECN-A1-020
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-A1-022
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-A1-023
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-W1-024
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-A1-025
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-B1-026
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-W1-027
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 7,ECN-A1-028
Escent Nakhon Si,รายการตรวจสอบผนัง Precast Wall Works,ชั้น 4,ห้อง 8,ECN-W1-031
